# ../areas-test-mean-class -incl 1.0 -r 0.4 -in HIevent-LHC-Nch3600.dat -cam -discard 0.0 
#---------------------------------------------------------------------
#                     FastJet release 2.1 beta    			 
#            Written by Matteo Cacciari and Gavin Salam		 
#            http://www.lpthe.jussieu.fr/~salam/fastjet		 
#								      	 
# Longitudinally invariant Kt Jet clustering, using the fast geometric
# algorithms of hep-ph/0512210 (please cite this if you use FastJet)  
# This package makes use of the CGAL library: http://www.cgal.org/    
# This package incorporates T.Chan's closest-pair algorithm, Proc. 13th     
# ACM-SIAM Symposium on Discrete Algorithms, pp.472-473, 2002
#---------------------------------------------------------------------
# median_pt_per_area = 386.625
# sub_a, sub_b = 494.247 -11.2439
 ijet   rap      phi        Pt       area  +-   err   stddev  pt_corr  ptcr(a,b)
  182  -0.83636  0.78139    195.405  0.349 +-  0.000  0.000     60.45     25.63
  183   0.97942  1.13210    143.918  0.319 +-  0.000  0.000     20.53    -10.38
  184   7.80587  3.19949     17.608  0.000 +-  0.000  0.000     17.61     17.61
  185   0.93487  5.80456    167.967  0.369 +-  0.000  0.000     25.30    -10.79
  186  -1.82973  0.16744    127.002  0.319 +-  0.000  0.000      3.61    -18.72
  187   9.47468  1.59160      8.085  0.000 +-  0.000  0.000      8.08      8.08
  188  -9.50219  4.17420      4.886  0.000 +-  0.000  0.000      4.89      4.89
  189  -7.94682  2.52660     15.273  0.000 +-  0.000  0.000     15.27     15.27
  190  -2.91450  4.51468    115.589  0.289 +-  0.000  0.000      3.77      0.26
  191   6.23074  2.19588     57.632  0.090 +-  0.000  0.000     22.93     52.45
  192  11.94384  4.11151      2.778  0.000 +-  0.000  0.000      2.78      2.78
  193   7.43604  4.26908     32.606  0.000 +-  0.000  0.000     32.61     32.61
  194   5.91278  5.16494     56.130  0.189 +-  0.000  0.000    -17.13     36.96
  195   3.23825  3.44478    117.963  0.369 +-  0.000  0.000    -24.71    -20.91
  196  -9.02245  2.32609      1.979  0.000 +-  0.000  0.000      1.98      1.98
  197   0.17822  5.41765    115.914  0.229 +-  0.000  0.000     27.23      2.62
  198   6.92222  1.01994     22.848  0.000 +-  0.000  0.000     22.85     22.85
  199  -9.06540  1.72540      6.532  0.000 +-  0.000  0.000      6.53      6.53
  200  -6.93627  1.48126     17.103  0.000 +-  0.000  0.000     17.10     17.10
  201  -3.71695  3.75101    113.250  0.359 +-  0.000  0.000    -25.56     -8.43
  202   8.16548  5.90404     13.258  0.000 +-  0.000  0.000     13.26     13.26
