# ../areas-test-mean-class -incl 1.0 -r 0.4 -in HIevent-LHC-Nch1600.dat -cam -discard 2.0 
#---------------------------------------------------------------------
#                     FastJet release 2.1 beta    			 
#            Written by Matteo Cacciari and Gavin Salam		 
#            http://www.lpthe.jussieu.fr/~salam/fastjet		 
#								      	 
# Longitudinally invariant Kt Jet clustering, using the fast geometric
# algorithms of hep-ph/0512210 (please cite this if you use FastJet)  
# This package makes use of the CGAL library: http://www.cgal.org/    
# This package incorporates T.Chan's closest-pair algorithm, Proc. 13th     
# ACM-SIAM Symposium on Discrete Algorithms, pp.472-473, 2002
#---------------------------------------------------------------------
# median_pt_per_area = 13.4505
# sub_a, sub_b = 27.253 -0.422153
 ijet   rap      phi        Pt       area  +-   err   stddev  pt_corr  ptcr(a,b)
   82   1.19658  5.02004     13.851  0.279 +-  0.000  0.000     10.09      6.41
   83  -0.29664  6.21404      2.105  0.419 +-  0.000  0.000     -3.53     -9.29
   84   4.78768  5.75257      2.142  0.339 +-  0.000  0.000     -2.42     -3.82
   85  -8.74161  6.19011      2.108  0.000 +-  0.000  0.000      2.11      2.11
   86   0.61353  2.00069      2.152  0.339 +-  0.000  0.000     -2.41     -7.04
   87  -5.37540  5.74134      2.576  0.319 +-  0.000  0.000     -1.72     -2.23
   88   0.29078  5.01798      3.697  0.409 +-  0.000  0.000     -1.80     -7.43
   89   0.05054  1.41247     17.618  0.588 +-  0.000  0.000      9.70      1.58
   90  -1.52002  3.08885      6.850  0.409 +-  0.000  0.000      1.35     -3.90
   91   0.01932  3.57175     14.955  0.319 +-  0.000  0.000     10.66      6.26
   92  -0.86360  5.15628     10.971  0.588 +-  0.000  0.000      3.06     -4.88
   93   1.24301  2.85345      2.131  0.259 +-  0.000  0.000     -1.36     -4.77
   94  -3.58810  1.83418      3.285  0.449 +-  0.000  0.000     -2.75     -6.51
   95   6.40167  1.88872      2.128  0.000 +-  0.000  0.000      2.13      2.13
   96   1.76493  2.39601      7.709  0.449 +-  0.000  0.000      1.67     -3.93
   97   6.33879  1.29320      2.382  0.000 +-  0.000  0.000      2.38      2.38
   98  -6.28395  1.12366      4.702  0.000 +-  0.000  0.000      4.70      4.70
   99   8.78550  3.23736      2.423  0.000 +-  0.000  0.000      2.42      2.42
  100   3.76174  0.00114      8.402  0.269 +-  0.000  0.000      4.78      2.67
  101   1.89176  5.77232      7.022  0.359 +-  0.000  0.000      2.19     -2.22
  102  -6.18155  0.08937      2.738  0.120 +-  0.000  0.000      1.13      1.41
  103   3.23145  0.02163      5.568  0.369 +-  0.000  0.000      0.60     -2.86
  104  -4.32564  0.70081      3.628  0.140 +-  0.000  0.000      1.75      0.93
  105   2.60148  5.76564      4.381  0.279 +-  0.000  0.000      0.62     -2.43
  106   1.62026  4.59417     14.912  0.459 +-  0.000  0.000      8.74      2.92
  107  -1.95070  3.12490      4.293  0.140 +-  0.000  0.000      2.41      0.71
  108  -5.31871  2.72470     20.217  0.419 +-  0.000  0.000     14.58     13.80
  109  -1.30744  0.84356      4.665  0.319 +-  0.000  0.000      0.37     -3.80
  110   2.99474  5.94428      2.222  0.120 +-  0.000  0.000      0.61     -0.59
