# ./areas-1gluon-for-root -out root-games/ghosted-siscone.dat -ghost_kt 1e-5 -ghost_area 0.04 -ghost_etamax 4.0 -kt_scatter 1 
# jet def: SISCone jet finder with cone_radius = 1, overlap_threshold = 0.5, n_pass_max = 1, caching turned off
 64 -3.6 1.47262 1.79314e-05
 65 -3.79999 1.66896 1.54048e-05
 66 -3.79999 1.86532 1.35119e-05
 67 -3.8 2.06166 1.55644e-05
 68 -3.79999 2.258 1.38563e-05
 69 -3.8 2.45435 1.15656e-05
 70 -3.8 2.65071 1.10583e-05
 71 -3.79999 2.84705 1.50138e-05
 72 -3.79999 3.04341 1.07101e-05
 73 -3.79999 3.23976 1.9881e-05
 74 -3.79998 3.43611 1.39844e-05
 75 -3.79999 3.63245 1.50691e-05
 76 -3.8 3.8288 1.10182e-05
 77 -3.79998 4.02515 1.64857e-05
 78 -3.79999 4.2215 1.70004e-05
 79 -3.79998 4.41786 1.19028e-05
 80 -3.79999 4.6142 1.22278e-05
 81 -3.79999 4.81056 1.56711e-05
 82 -3.79998 5.0069 1.72973e-05
 83 -3.79999 5.20325 1.33116e-05
 84 -3.8 5.39961 1.23527e-05
 85 -3.79999 5.59596 1.36723e-05
 86 -3.79998 5.7923 1.72937e-05
 87 -3.79999 5.98866 1.64554e-05
 88 -3.79998 6.18499 1.49187e-05
 89 -3.8 0.0981604 1.59393e-05
 90 -3.79999 0.88357 1.01253e-05
 91 -3.79999 1.07992 1.63473e-05
 92 -3.79999 1.27626 1.21292e-05
 93 -3.79999 1.4726 1.71699e-05
 94 -3.99999 1.66896 1.80485e-05
 95 -3.99998 1.86531 1.62438e-05
 96 -3.99998 2.06166 1.77343e-05
 97 -4 2.25801 1.6279e-05
 98 -3.99998 2.45435 1.49197e-05
 99 -3.99999 2.65071 1.28603e-05
 100 -3.99998 2.84706 1.1243e-05
 101 -3.99999 3.04341 1.21874e-05
 102 -3.99999 3.23975 1.79802e-05
 103 -3.99999 3.4361 1.63783e-05
 104 -3.99999 3.63246 1.98906e-05
 105 -3.99998 3.8288 1.37091e-05
 106 -4 4.02517 1.69599e-05
 107 -3.99999 4.2215 1.07718e-05
 108 -3.99998 4.41786 1.37361e-05
 109 -3.99999 4.61421 1.11703e-05
 110 -4 4.81056 1.99718e-05
 111 -3.99998 5.0069 1.63263e-05
 112 -4 5.20324 1.11385e-05
 113 -4 5.39961 1.94618e-05
 114 -3.99998 5.59596 1.72453e-05
 115 -3.99998 5.79231 1.61812e-05
 116 -3.99999 5.98865 1.97221e-05
 117 -3.99999 6.18501 1.01257e-05
 118 -3.99999 0.0981693 1.12179e-05
 119 -3.99999 0.687219 1.00784e-05
